"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Nettapus_auritus","Nettapus_auritus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,1,0.375955697484906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nycticorax_nycticorax","Nycticorax_nycticorax",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638658440627172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanus_onocrotalus","Pelecanus_onocrotalus",3,1,NA,NA,NA,NA,0.11094719320512,0.110947193205121,0.11094719320512,0.11094719320512,0.110947193205121,0.110947193205121,0.11094719320512,0.11094719320512,0.110947193205121,0.11094719320512,0.110947193205121,0.11094719320512,0.110947193205121,0.11094719320512,0.11094719320512,-0.0681601792456656,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanus_rufescens","Pelecanus_rufescens",30,1,0.00475792803193742,-0.00306698877138449,-0.00306698877138449,-0.00306698877138456,-0.00306698877138449,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00553846531544178,-0.00553846531544178,-0.00553846531544178,-0.00553846531544163,-0.00553846531544178,-0.00553846531544163,-0.00553846531544178,-0.00553846531544178,-0.00553846531544178,-0.0451561228017313,-0.0468089717816248,-0.0295240924125218,-0.0100515444050337,0.00735214295698835,0.0201260920763056,0.025614844572153,0.02490251058619,0.0163040266907539,0.00254068818054387,-0.00666395506292202,-0.0635293582582352,-0.0622357534597389,-0.0608121318887944,-0.0358919149020545,NA,NA,NA,NA,NA,NA,NA,NA
"Phalacrocorax_carbo","Phalacrocorax_carbo",96,1,-0.514623924465595,0.0535935779853631,0.053593577985363,0.0535935779853631,0.053593577985363,0.0936985540665136,0.0936985540665137,0.119104011791202,0.0811239621205569,-0.0193779218605336,-0.0967499655295312,-0.0636133726866212,-0.0636133726866212,-0.0636133726866212,-0.0275306233528748,-0.0339567133771617,-0.0443376178778208,-0.0528154270950628,-0.0548532266746942,-0.051913411535914,-0.0506347638929613,-0.0563366069394927,0.250661815175378,-0.0463227333192103,-0.0450507798715374,-0.036817262398929,-0.0953794983435506,0.0337256532749715,0.0663067377117299,-0.0661425781056558,0.0331121894026568,-0.217614819154541,-0.112437915558273,0.38405538568264,-0.0926764708913285,-0.0971276829600286,0.0157457491494177,0.0381331546646563,-0.0191262400632097,-0.0191262400632095,-0.0191262400632097,-0.0191262400632097,0.0921450216518138,0.0921450216518138,0.0921450216518136,0.0921450216518138,0.0921450216518136
"Phoeniconaias_minor","Phoeniconaias_minor",24,1,NA,NA,NA,NA,NA,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,NA,NA,0.181405527262352,0.268552141656108,NA,0.368595689852285,-0.235149863618864,-0.650347126756007,-0.263731541147289,0.467173176368381,0.632477651278109,0.114271953130335,-0.317243669299246,-0.132730847543633,0.272866334522468,NA,NA,NA,NA,NA,NA,NA,NA
"Phoenicopterus_roseus","Phoenicopterus_roseus",9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.710632479304081,-0.525373956997864,-0.525373956997863,-0.525373956997863,1,-0.564229671353732,1,-0.5345412202484,0.389961798658821,0.337025183811337,NA,NA,NA,NA,NA,NA,NA,NA
"Phoenicopterus_ruber","Phoenicopterus_ruber",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196968488454929,0.233172617519615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plectropterus_gambensis","Plectropterus_gambensis",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00229990303394079,0.00229990303394123,0.00229990303394079,-0.194043483873825,0.418603173193494,-0.164017920979195,NA,0.371256399058679,-0.252566611727381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plegadis_falcinellus","Plegadis_falcinellus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59690291398179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
